PERMNO,date,TICKER,PERMCO,PRC,VOL,RET
13407,2017/2/7,FB,54084,131.84,14596699,-0.001666
13407,2017/2/8,FB,54084,134.2,22390556,0.0179
13407,2017/2/9,FB,54084,134.14,16470709,-0.000447
13407,2017/2/10,FB,54084,134.19,15061939,0.000373
13407,2017/2/13,FB,54084,134.05,13533425,-0.001043
13407,2017/2/14,FB,54084,133.85001,14400889,-0.001492
13407,2017/2/15,FB,54084,133.44,13226534,-0.003063
13407,2017/2/16,FB,54084,133.84,12781092,0.002998
13407,2017/2/17,FB,54084,133.53,12276490,-0.002316
13407,2017/2/21,FB,54084,133.72,14759109,0.001423
13407,2017/2/22,FB,54084,136.12,27861092,0.017948
13407,2017/2/23,FB,54084,135.36,18422549,-0.005583
13407,2017/2/24,FB,54084,135.44,12625742,0.000591
13407,2017/2/27,FB,54084,136.41,14306668,0.007162
13407,2017/2/28,FB,54084,135.53999,16112094,-0.006378
13407,2017/3/1,FB,54084,137.42,16257011,0.01387
13407,2017/3/2,FB,54084,136.75999,12346054,-0.004803
13407,2017/3/3,FB,54084,137.17,11160563,0.002998
13407,2017/3/6,FB,54084,137.42,12748179,0.001823
13407,2017/3/7,FB,54084,137.3,13527132,-0.000873
13407,2017/3/8,FB,54084,137.72,10184514,0.003059
13407,2017/3/9,FB,54084,138.24001,15535259,0.003776
13407,2017/3/10,FB,54084,138.78999,16314113,0.003978
13407,2017/3/13,FB,54084,139.60001,10955450,0.005836
13407,2017/3/14,FB,54084,139.32001,12944068,-0.002006
13407,2017/3/15,FB,54084,139.72,19346177,0.002871
13407,2017/3/16,FB,54084,139.99001,13612942,0.001932
13407,2017/3/17,FB,54084,139.84,20592818,-0.001072
13407,2017/3/20,FB,54084,139.94,12106171,0.000715
13407,2017/3/21,FB,54084,138.50999,29895734,-0.010219
13407,2017/3/22,FB,54084,139.59,17056506,0.007797
13407,2017/3/23,FB,54084,139.53,13022801,-0.00043
13407,2017/3/24,FB,54084,140.34,16664683,0.005805
13407,2017/3/27,FB,54084,140.32001,12800544,-0.000142
13407,2017/3/28,FB,54084,141.75999,14679436,0.010262
13407,2017/3/29,FB,54084,142.64999,16527574,0.006278
13407,2017/3/30,FB,54084,142.41,12411497,-0.001682
